photo_id,photo_url,photo_image_url,exif_camera_make,exif_camera_model,exif_iso,exif_focal_length,exif_aperture_value,exif_exposure_time,photo_width,photo_height,photo_aspect_ratio,orientation
aj_0AGzw6Qo,https://unsplash.com/photos/aj_0AGzw6Qo,https://images.unsplash.com/photo-1530234332485-f2c7355bd1ef,SONY,ILCE-6500,800,30,1.7,1/200,3200,4801,0.67,0
eT-X5-bRoMg,https://unsplash.com/photos/eT-X5-bRoMg,https://images.unsplash.com/photo-1535586315911-7fafb6a273f7,Canon,Canon EOS 7D,2000,200,6.3,1/2000,2765,3456,0.8,0
RvJLlAGzUvU,https://unsplash.com/photos/RvJLlAGzUvU,https://images.unsplash.com/photo-1539419161974-ca10454f4dcf,FUJIFILM,X-T1,2500,50,5.6,1/180,4896,3264,1.5,1
m1HFem3odgY,https://unsplash.com/photos/m1HFem3odgY,https://images.unsplash.com/photo-1520446981423-6a8377ed1eea,SONY,DSC-RX1,320,35,5.6,1/80,2880,1820,1.58,1
gZltlzPun9c,https://unsplash.com/photos/gZltlzPun9c,https://images.unsplash.com/photo-1534353900028-ce511ef9351d,Canon,Canon EOS 5D Mark III,640,35,1.8,1/800,5685,3790,1.5,1
lT2c4pxkP78,https://unsplash.com/photos/lT2c4pxkP78,https://images.unsplash.com/photo-1504903669937-2f825bf5956f,SONY,ILCA-77M2,800,100,3.5,1/320,6000,4000,1.5,1
PkcoJIiGGbI,https://unsplash.com/photos/PkcoJIiGGbI,https://images.unsplash.com/photo-1555646283-5d0eecd84adf,SONY,ILCE-7M3,1000,75,4,1/125,3800,5700,0.67,0
GZjfHI1VCSo,https://unsplash.com/photos/GZjfHI1VCSo,https://images.unsplash.com/photo-1552499166-0b65653cad27,HUAWEI,CLT-L04,50,4,1.8,1/242,2359,3143,0.75,0
d2wuqguRzZ0,https://unsplash.com/photos/d2wuqguRzZ0,https://images.unsplash.com/photo-1510353157186-4e5fec7beb6d,FUJIFILM,X-Pro2,250,50,3.2,1/2000,4000,5000,0.8,0
0NFaTBh5wHM,https://unsplash.com/photos/0NFaTBh5wHM,https://images.unsplash.com/photo-1557935008-47f967856c91,Nikon,NIKON D810,500,38,10,1/100,7232,4827,1.5,1
MzXxPDebYiM,https://unsplash.com/photos/MzXxPDebYiM,https://images.unsplash.com/photo-1568151032356-412b3402a8c1,SONY,ILCE-6500,100,30,1.7,1/80,3945,5919,0.67,0
