photo_id,exif_camera_make,exif_camera_model,exif_iso,exif_focal_length,exif_aperture_value,exif_exposure_time,orientation
8ZgJyLGbC7Y,SONY,SLT-A77V,100,28,8,1/640,1
-_rYK0egLWE,Canon,Canon EOS 1100D,250,55,5.6,1/800,1
PewUcrT1yIw,Canon,Canon EOS REBEL T3i,400,18,8,0.3,1
kFxWDfj0pD8,Canon,Canon EOS REBEL T3,1600,50,1.8,1/500,1
r3ZWnitp3zk,NIKON CORPORATION,NIKON D3200,100,55,5.6,1/100,1
28ztKXfneYk,NIKON CORPORATION,NIKON D60,160,18,5.6,1/125,1
p-vdIYB4mFY,NORITSU KOKI,EZ Controller,,,,,1
Gg7uKdHFb_c,Canon,Canon EOS REBEL T2i,100,18,3.5,1/1600,1
txuZ6ATkPMk,,,,,,,1
ItGkpXAr8gk,Canon,Canon EOS REBEL T3,100,50,1.8,1/4000,1
12dXKDujs40,,,,,,,1
H28ODcp4EUk,Canon,Canon EOS 60D,,28,2,1/3200,1
rDLBArZUl1c,Panasonic,DMC-GF1,100,20,1.8,1/200,0
YpY--zR8BC0,Canon,Canon EOS 5D Mark III,1600,40,22,1/400,1
PQ-_8LhCVOc,NIKON CORPORATION,NIKON D610,100,35,4.5,1/1000,1
Ng12EyF84Yw,SONY,DSLR-A200,100,26,9,1/80,1
-Y-XzY0HhEM,Panasonic,DMC-SZ1,100,4.5,3.1,1/60,1
UDa5FrOWgQ8,Canon,Canon EOS 6D,200,35,13,1/320,1
mxaZ98ZYuIs,Canon,Canon EOS 60D,320,10,18,0.8,1
gkT4FfgHO5o,FUJIFILM,X-E1,200,18,14,1/350,1
2qLT_Rq-2tk,NIKON CORPORATION,NIKON D3100,200,34,5,1/60,1
cNDGZ2sQ3Bo,Canon,Canon EOS 60D,100,40,9,1/320,1
ti4uz330CwU,,,,,,,1
yBXLjBteptw,Canon,Canon EOS REBEL T2i,1600,250,10,1/125,1
HYA9Ak06qR8,SONY,ILCE-7,100,,,10,1
qFabgklobRY,Canon,Canon EOS 60D,100,18,4.5,1/60,1
tq6Ra0jDMi0,NIKON CORPORATION,NIKON D3100,400,18,3.8,1/60,1
oliegs9Dhg8,Canon,Canon EOS 20D,100,28,4,1/640,1
mwhklqGVzck,FUJIFILM,X-S1,100,6.1,7.1,1/400,1
wkZjjrcl9oo,,,,,,,1
iuZ_D1eoq9k,Canon,Canon EOS 5D,100,50,1.6,1/1600,0
KpqijGSBWmw,NIKON CORPORATION,NIKON D5100,400,17,9,1/100,1
BeD3vjQ8SI0,FUJIFILM,X-E1,200,35,1.4,1/1700,1
2wugfiddtXw,,,,,,,1
dO0KS_QGnzY,,,,,,,1
OokBLPrkCNk,FUJIFILM,FinePix X100,800,23,8,1/1000,1
DqYw4KMZYOE,Canon,Canon EOS 5D Mark II,3200,28,4,30,1
ocwmWiNAWGs,SONY,SLT-A57,,35,3.5,1/4000,1
MeP_uNYMHuk,SONY,DSLR-A350,100,70,5.6,1/800,1
Z5qD8T3wVvk,Canon,Canon EOS 5D Mark III,400,70,5,1/320,1
HZg0vJHFyg0,,,,,,,1
gq4kE8KRP8c,,,,,,,1
mqtn_g1ogIY,Apple,iPhone 5c,50,4.1,2.4,1/935,1
dSM6qcdS7Hk,Canon,Canon EOS 5D Mark II,200,50,,1/125,1
CH4AVMDbr4Q,NIKON CORPORATION,NIKON D7000,140,18,8,1/250,1
2ShvY8Lf6l0,Canon,Canon EOS 7D,100,50,1.8,1/800,1
jeZXVb3JHgc,,,,,,,1
d8IPvipdj1Y,,,,,,,1
Fu8pblIzEL0,NIKON CORPORATION,NIKON D5100,100,50,1.8,1/4000,1
cGe1PV_yEso,Canon,Canon EOS REBEL T2i,100,21,5,1/80,1
gxuJV1SMk_s,,,,,,,1
nUTaiCDS9RE,Canon,Canon EOS 5D Mark II,100,17,8,1/640,1
8CDzJFF10d0,NIKON CORPORATION,NIKON D90,200,105,6.3,1/640,1
o94ZSuWMeis,,,,,,,1
VNO2rqdLkKk,Canon,Canon EOS 700D,100,24,4,1/1000,1
7F24TkqrCLQ,FUJIFILM,X-E2,1600,18,16,1/850,1
QSOITSYgM5E,NIKON CORPORATION,NIKON D5100,400,18,5,1/100,1
RS4YhxRHgBk,Canon,Canon EOS 10D,1600,54,4.5,1/4000,1
FIKD9t5_5zQ,Canon,Canon EOS 5D Mark II,200,50,2.8,1/50,1
NXciM5wByZg,NIKON CORPORATION,NIKON D3300,100,42,22,25,1
1E11Vqg_2hk,Canon,Canon EOS 6D,320,105,4,1/125,1
3CjX86heiUk,NIKON CORPORATION,NIKON D300,100,10,16,1/60,1
JQ3GQzG3iX4,SONY,ILCE-7M2,200,140,4,1/200,1
th4bqV0PQpI,Canon,Canon EOS 6D,200,24,5,1/2500,1
j2HQKlLFT_c,Apple,iPhone 6,32,4.2,2.2,1/3300,1
esax_xh52zg,Apple,iPhone 5c,50,4.1,2.4,1/196,1
hSVAoeksQ7c,NIKON CORPORATION,NIKON D3100,100,13,25,8,1
xJqXTBt95tA,Apple,iPhone 5s,32,4.2,2.2,1/6849,0
Luwp6HZB2Oo,SONY,SLT-A77V,80,300,5.6,1/250,1
NxzovEuz878,NIKON CORPORATION,NIKON D50,200,19,7.1,1/200,1
-uzgaA9LfNw,Canon,Canon EOS 5D Mark III,100,24,22,30,1
o7pBoWgW6Gc,Canon,Canon EOS REBEL T2i,100,70,8,1/250,1
YN0TsnkaZBU,OLYMPUS IMAGING CORP.,E-M10,200,42,8,1/200,1
-bAy8jTPWVo,Canon,Canon EOS 1100D,640,38,6.3,1/60,1
UmDCqXIvty8,Panasonic,DMC-GX7,125,60,2.8,1/320,1
1vYkQVDWXl0,Canon,Canon EOS 60D,400,50,1.8,1/100,1
GfuxOPaitSs,Canon,Canon PowerShot SX50 HS,80,13,4.5,15,1
QTVi7cvYm0k,,,,,,,1
2NyNF1mrYGY,NIKON CORPORATION,NIKON D3200,100,18,8,1/250,1
kirY8T8kskM,FUJIFILM,XF1,100,6.4,4,1/250,1
DBmFFXczGWM,Canon,Canon EOS 7D,500,22,18,1/200,1
MaAGeHnXl9g,Canon,Canon PowerShot G12,125,7.4,4,1/500,1
PQYovEfGC_I,SONY,NEX-5N,100,,,,1
trELt4tpj7w,Canon,Canon EOS 5D Mark II,400,300,5.6,1/250,1
JHHDUs23wjA,Canon,Canon EOS 5D Mark III,1250,28,4,1/50,1
F-t5EpfQNpk,Canon,Canon EOS Kiss X6i,1600,100,5.6,1/2000,1
5EDTkkHRCgg,NIKON CORPORATION,NIKON D90,200,25,13,1/5,1
mYXXokN8HZ0,SONY,DSC-HX200V,100,4.8,2.8,1/1000,0
2KXEb_8G5vo,Canon,Canon EOS 5D Mark III,3200,16,2.8,30,0
Q5Qe0WI66_4,NIKON CORPORATION,NIKON D750,800,50,2.2,1/60,1
k-pNQB0koNo,Canon,Canon EOS 70D,100,60,4,1/400,1
WnB-gKIt1qo,Canon,Canon EOS REBEL T5i,100,18,10,30,1
UMrOAVh_GrY,Canon,Canon EOS 7D,1000,700,6.3,1/320,1
0mtnfThbrMA,,,,,,,1
d6kSvT2xZQo,Apple,iPhone 5s,40,4.2,2.2,1/120,1
b7TuxjXs9j8,Canon,Canon EOS 5D Mark III,200,28,2.5,1/800,1
4brY6pFNZMg,Canon,Canon EOS 600D,200,50,1.8,1/640,0
YWhRvW7KRJY,Canon,Canon EOS 5D Mark II,160,80,4,1/500,1
SDS53BJhAwc,Canon,Canon EOS DIGITAL REBEL XT,400,50,8,1/400,1
7gZEY7tY9C4,NIKON CORPORATION,NIKON D800,1600,14,2.8,20,1
x6RO8lNSzpo,Canon,Canon EOS 70D,100,135,7.1,1/8000,1
-qRnt_BkJH4,Canon,Canon EOS 450D,100,70,8,1/320,1
qS-SDG7umac,SAMSUNG,GT-I9082,80,3.7,2.6,1/134,1
qn9r2gMDWzs,Canon,Canon EOS 450D,100,34,5.6,1/100,1
4jcFu1byopQ,NIKON CORPORATION,NIKON D90,160,50,3.5,0.5,1
dff39L7dRY4,NIKON CORPORATION,NIKON D5200,100,10,3.5,1/1250,1
y692nLSXiaU,NIKON CORPORATION,NIKON D7100,100,50,1.8,1/1600,1
i_ivTcj8GFo,Apple,iPhone 5,50,4.1,2.4,1/1043,1
OBkWp-1lxjM,"RICOH IMAGING COMPANY, LTD.",PENTAX K-3 II,200,15,11,1/100,1
wkRHXxsZTvc,FUJIFILM,X100S,320,23,4,1/500,1
q75_AMCgsZU,,,,,,,1
sirEpWjfSmo,NIKON CORPORATION,NIKON D5200,400,135,6,1/500,1
NXB51Lc1RdM,NIKON CORPORATION,NIKON D600,100,50,1.8,1/2500,1
aPCf4QhVsN4,NIKON CORPORATION,NIKON D3000,200,48,5.6,1/320,1
4Xb9AqocdCc,Canon,Canon EOS 6D,125,135,2.8,1/250,1
kx8FdCycanQ,SONY,ILCE-7M2,100,16,6.3,1/400,0
bkZlfn8Rccc,NIKON CORPORATION,NIKON D3200,100,46,8,1/200,1
_DJZtCTiclo,Canon,Canon EOS 400D DIGITAL,200,50,1.4,1/200,1
vs6a4EHj_Ro,FUJIFILM,X-T1,200,23,2.2,1/500,0
L9oSwk12WKk,Canon,Canon EOS 7D,320,21,5.6,1/30,1
TB4hpi1nfJQ,NIKON CORPORATION,NIKON D810,200,24,2.8,10,1
1NKYcxSIw8g,,,,,,,1
-sCzwQ6D1-g,Canon,Canon EOS 60D,640,200,2.8,1/1250,1
vSjvVsebqrc,Canon,Canon EOS 5D Mark II,100,140,2.8,1/320,1
UFzAiLIwsNM,Canon,Canon EOS 1200D,100,85,8,1/250,1
pTPcbdUzlyY,Canon,Canon EOS 6D,5000,24,16,1/320,1
vLbtQEx64RU,NIKON CORPORATION,NIKON D5000,200,200,10,1/320,1
cKTGIXC9dHc,NIKON CORPORATION,NIKON D800,640,24,7.1,1/125,1
JZ4GNQzNxTU,NIKON CORPORATION,NIKON D3200,100,52,8,0.5,1
mUP8w6dENrY,Canon,Canon EOS 5D Mark III,250,35,10,1/800,1
ke-sGAA8w64,FUJIFILM,X100S,200,23,2,1/1000,1
QdSYuTtcGZE,SONY,ILCE-7,50,,,20,1
9wg5jCEPBsw,NIKON CORPORATION,NIKON D7000,100,50,6.3,1/800,1
JzQUxNdjbZM,SAMSUNG,NX300,3200,25,4,1/30,1
ZEd44nDPTfA,NIKON CORPORATION,NIKON D810,100,200,5.6,1/250,1
rg3F_zlBlnA,OLYMPUS IMAGING CORP.,E-M10,200,17,2.2,1/2000,1
8fYhrgV_IWg,Canon,Canon EOS 1100D,100,39,6.3,1/1000,0
_4HhZOUEwmw,FUJIFILM,X100S,800,23,5.6,1/500,1
P7w9VrUo9vU,Canon,Canon EOS 5D Mark III,3200,70,2.8,1/60,1
CYLYOTWE01o,SONY,ILCE-6000,100,16,6.3,1/800,1
XlFGKCeuIOw,NIKON CORPORATION,NIKON D810,400,50,2.5,1/125,1
Gxa1GeJ2TlY,,,,,,,1
BUxLdXAsz8c,Canon,Canon EOS 5D Mark III,800,42,2.8,1/60,1
rYWz3Q88P8g,SONY,ILCE-6000,100,,,1/640,1
v4YtpXknYLY,Canon,Canon EOS 5D Mark III,100,55,5,1/80,1
qbtyUQtqJ8k,Canon,Canon EOS REBEL T3,100,18,4.5,1/100,1
yyilgcRTlNw,SONY,ILCE-5000,100,16,11,1/250,1
Y9rurJkOVxk,FUJIFILM,X100S,800,23,5.6,1/340,1
WCrchkdrlwI,Canon,Canon EOS 5D Mark III,320,58,6.3,1/125,1
WUC1wC8pP9A,FUJIFILM,X-T10,1600,35,1,1/60,1
o31cz2XQDFw,SONY,ILCE-7,640,35,8,1/400,1
FKbg8jbLMQ8,Canon,Canon EOS REBEL T3i,100,24,10,1/250,1
jeWWV3OqN78,NIKON CORPORATION,NIKON D750,1000,280,10,1/4000,1
-ftqFUopdDs,Canon,Canon EOS 5D Mark II,125,45,13,1/100,1
qWqj7_h0mxU,NIKON CORPORATION,NIKON D90,200,,,1/500,1
Sa7787z58VQ,NIKON CORPORATION,NIKON 1 V1,100,30,10,1/160,1
SWfcRVm-o0E,SONY,ILCE-7M2,100,19,10,1/320,1
Swfc6shtGP4,Canon,Canon EOS 5D Mark III,200,50,1.6,1/250,1
LZErFqDvkpk,Canon,Canon EOS 7D,100,50,2.2,1/5000,1
iBh14jRMBI4,Canon,Canon EOS 5D,200,0,,1/400,1
LWzoYFmSRxc,Apple,iPhone 5s,32,4.2,2.2,1/275,0
rldNiZx1fNI,NIKON CORPORATION,NIKON D5200,100,30,5.6,1/1000,1
HfGRKdRsolA,,,,,,,1
V2I277IbS08,Canon,Canon EOS 7D,200,85,2.8,1/800,1
zQBSte4Rn3s,NIKON CORPORATION,NIKON D80,125,17,10,1/60,1
K0NZmsoaRt0,,,,,,,1
TfrraGFywuQ,Canon,Canon EOS 5D Mark II,1000,135,5.6,1/400,1
_omuigahLco,SONY,ILCE-6000,320,24,4,1/60,1
KbhmP_uoqTY,NIKON CORPORATION,NIKON D7000,800,155,4.5,1/125,1
tHe4kd2ZI3U,Canon,Canon EOS 600D,6400,42,5,1/80,1
BGB9Eidt30I,Panasonic,DMC-GH4,200,20,1.7,1/2500,1
G2ifDHnHZ6Y,NIKON CORPORATION,NIKON D7000,3200,11,3.2,25,0
bXHlgb58_co,Canon,Canon EOS 600D,100,18,10,1/250,1
YMMXnBHhvCo,FUJIFILM,X-T1,800,16,2,1/2500,1
EXbGG5dBZKw,Canon,Canon PowerShot G7 X,250,8.8,4,1/640,0
-s1w1SguZTI,Canon,Canon PowerShot G7 X,125,24.1,4,1/125,1
LMgynmNmSGY,NIKON CORPORATION,NIKON D750,100,85,3.5,1/200,1
ILnBrcYVXr4,Canon,Canon EOS 5D Mark III,100,105,16,1/125,1
gvoHcmM47R4,Canon,Canon EOS 7D,400,24,7.1,1/3200,1
9BbAmtCGpWY,Canon,Canon PowerShot G7 X,125,8.8,3.2,1/1250,1
1c0l8A8VDzk,,,,,,,1
DqXPh4wrA20,Canon,Canon PowerShot G7 X,200,17.4,4,1/200,1
PdJjT-zYg_E,Canon,Canon EOS 7D Mark II,100,70,4,1/160,1
IZ01rjX0XQA,FUJIFILM,X-E2,200,18,11,1/350,1
bcyC0eCFH8U,,,,,,,1
23B9fajPhho,NIKON CORPORATION,NIKON D5000,1600,55,4,1/10,1
KD8jKVdCFoQ,NIKON CORPORATION,NIKON D5100,200,105,5.6,1/125,1
Gl48sm4Od6g,SONY,ILCE-7M2,100,29,11,1/200,1
7MBgGXQ2Rqg,Canon,Canon EOS Kiss X4,100,50,1.8,1/4000,1
EfhCUc_fjrU,SONY,ILCE-6000,100,50,10,0.4,1
agE97zp_Xvo,SAMSUNG TECHWIN Co.,SAMSUNG GX10,400,40,9.5,1/750,0
0WrZceP8V28,Canon,Canon EOS REBEL T3i,100,24,9,1/640,1
c8_nS7lF3eo,Canon,Canon EOS REBEL T3i,200,100,2.8,1/400,1
VyZTJ_FRqJc,NIKON CORPORATION,NIKON D5500,200,55,5.6,1/100,1
PpZiXBY7_Nw,NIKON CORPORATION,NIKON D750,100,20,8,1/200,1
ijz0gXqaNrU,Canon,Canon EOS 5D,640,105,8,1/250,1
bFFJj1UM8N0,Canon,Canon EOS 6D,500,50,3.5,1/4000,1
bbuMCIRFXiQ,Canon,Canon EOS 5D Mark II,100,100,6.3,1/250,1
FQGW34aZb1I,SAMSUNG,NX500,100,16,7.1,1/320,1
U22mr8QmDvE,Canon,Canon EOS REBEL T3i,100,35,7.1,1/125,1
-grKZ-GzWyU,,,,,,,1
FZqISnUVsL0,Canon,Canon EOS 1100D,100,18,3.5,1/2000,1
KwVbDSCb-bI,Apple,iPhone 5,200,4.1,2.4,1/237,1
_QwBXZ7NQ78,NIKON CORPORATION,NIKON D3000,200,50,10,1/200,1
F0dmGPe2KG0,NIKON CORPORATION,NIKON D5500,1800,200,4,1/320,0
bQUKDF5H7fo,,,,,,,1
V6If1LurrhU,NIKON CORPORATION,NIKON D610,640,55,4.5,1/2000,1
R_qUr2FqvlI,SONY,ILCE-6000,100,30,10,44,1
ebRanmiyixs,Canon,Canon EOS 5D,3200,50,2.8,10,1
PAnGAiaSPh0,Canon,Canon EOS 7D,400,50,7.1,1/100,1
s48nn4NtlZ4,SONY,ILCE-7,1600,,,2.5,1
bY6baTGwoG0,SONY,SLT-A58,100,100,6.3,1/200,1
WQo7FmqQBpo,Canon,Canon EOS REBEL T5,400,44,11,1/200,1
uXMU_dC_tFM,,,,,,,1
vfyvip4aT4Q,NIKON CORPORATION,NIKON D7100,100,18,3.5,20,1
lYwwPmsWdOg,Canon,Canon EOS REBEL T5,100,250,13,1/8,1
YH4DwLLZy4I,NIKON CORPORATION,NIKON D3100,100,50,1.8,1/1250,1
aolmXcUxr7Y,Canon,Canon EOS REBEL T3i,400,400,5.6,1/640,1
4xb7hurRzIU,Canon,Canon PowerShot SX120 IS,100,6.7,5,1/1250,1
-uEIBNhwrDo,DJI,FC300X,200,3.6,2.8,1/400,1
PaNxe-QJwhE,NIKON CORPORATION,NIKON D800,400,16,8,15,1
aMgRySE38Yw,,,,,,,1
VQqt3g0BixA,NIKON CORPORATION,NIKON D7100,250,18,3.5,1/800,1
5q5CAz_bOAg,NIKON CORPORATION,NIKON D7000,280,150,6.3,1/1000,1
5WYiCX1HHYg,NIKON CORPORATION,NIKON D750,100,200,2.8,1/800,1
fJb9CeTGjvQ,,,200,44,5,1/160,0
IraMdOH78NE,,,,,,,1
5dehYy5BkRw,Canon,Canon EOS 5D Mark II,100,50,6.3,1/100,1
WeYamle9fDM,FUJIFILM,X100T,400,23,2,1/450,1
Ob-5QPT6yv4,,,,,,,1
XYgVCMAT45k,,,,,,,0
bOv4fYURclY,,,,,,,1
e0Q4qqvvrXI,,,,,,,1
T9CktnMI8TQ,Canon,Canon EOS 5D Mark III,100,105,5.6,1/160,1
9dTg44Qhx1Q,,,,,,,0
F4cloJo0PQM,SONY,DSC-RX100M3,125,15.3,5.6,1/640,1
HS4D5MvY5F4,,,,,,,1
wlzA74ZqRFs,,,,,,,0
RLR9AfOd5hw,NIKON CORPORATION,NIKON D750,360,140,5.6,1/500,1
TXZZDkuCA80,FUJIFILM,X100T,3200,19,8,1/1000,1
IghZxJgO94M,NIKON CORPORATION,NIKON D750,100,390,8,1/640,1
RSGXmYouHSA,Canon,Canon EOS 700D,800,50,5,1/125,1
7rc1slcFfuM,SONY,ILCE-7R,50,28,22,1.6,1
TThJasoRU2o,NIKON CORPORATION,NIKON D5200,200,40,20,1/15,1
iilZhNg5uaQ,Canon,Canon EOS REBEL T3i,200,100,2.8,1/200,1
5KNecHxjTnI,FUJIFILM,X-T1,200,23,1.6,1/300,1
njQ-fbNxpTk,OLYMPUS IMAGING CORP.,E-PL2,200,,,1/640,1
Y5pSLoYarnE,,,,,,,1
1yglEKdGSzU,Canon,Canon EOS 5D Mark III,100,17,22,0.5,0
-fiPzmOG8sU,Canon,Canon EOS REBEL T5,320,39,11,1/200,1
n4A-qBj_e3Q,Canon,Canon PowerShot G7 X,125,8.8,5.6,1/200,0
zSGFGTed0zw,Canon,Canon EOS 6D,100,20,8,1/100,1
Sq44zuvuYuQ,,,,,,,1
b-0AT81Z5MA,NIKON CORPORATION,NIKON D750,1250,105,3.3,1/800,1
HAGq70L1MXc,,,,,,,1
p1vOiWrFm18,Apple,iPhone 6s,25,4.2,2.2,1/1026,0
4Xb2Fm84Z3g,SONY,ILCE-7M2,100,33,5.6,1/125,0
dY7ONzZzoU8,SONY,ILCE-6300,320,24,4.5,1/500,1
eotyy_IFVRk,OLYMPUS IMAGING CORP.,E-M5,1600,12,3.5,20,1
jizIM-9oLYA,NIKON CORPORATION,NIKON D800,100,28,2.8,1/1000,1
j9NRVGf6Vo4,SONY,ILCE-7RM2,50,50,9,1/200,1
I00Y30Ik8Xw,Canon,Canon PowerShot G3 X,800,110.8,5.6,1/400,1
cglOutdLi2I,Canon,Canon PowerShot G7 X,200,8.8,4,1/60,1
DLICfSD33as,Canon,Canon EOS 7D Mark II,400,22,4.5,30,1
xndHhTH2Ejc,SONY,ILCE-7RM2,50,50,8,1/200,1
83zRhEhFMfo,,,,,,,1
9PDBbyJc2eE,Apple,iPhone 7 Plus,20,4,1.8,1/669,0
xYMkO5LbGtc,NIKON CORPORATION,NIKON D750,100,70,2.8,1/1000,1
fvRMiI6KFI4,NIKON CORPORATION,NIKON D7100,100,100,10,1/400,0
xqV9QdGOSas,FUJIFILM,X-Pro2,6400,35,2,1/90,0
Du5g-fwvcQc,NIKON CORPORATION,NIKON D3200,200,35,2,1/1250,0
kqBzDbiVV40,,,,,,,1
9FDKj-FrfA4,Canon,Canon EOS REBEL T5,125,55,5.6,1/80,1
f9bkzNQyylg,Canon,Canon EOS 1200D,1600,55,5.6,1/2000,1
KMYCSLP8uiU,NIKON CORPORATION,NIKON D810,200,55,3.5,1/100,0
iyfjDcAr_2g,Canon,Canon EOS 5D Mark IV,250,85,13,1/500,1
R4lvbqy_r80,SONY,ILCE-7M2,80,85,8,1/50,1
KFnu4Y0uNJA,,,,,,,1
6SeYtqSaGLI,SONY,ILCE-7R,100,234,5.6,1/250,1
FJc8DIDMGek,Canon,Canon EOS 5DS,100,29,2.8,1/8000,1
-Ndew-vyQis,Canon,Canon EOS Rebel T6,3200,18,5.6,1/4000,1
f0huI7_HjWw,,,,,,,0
T1wpGZhvwUo,Canon,Canon EOS 7D Mark II,250,50,1.4,1/2000,1
UMftJn4b9yM,Canon,Canon EOS 500D,200,55,11,1/250,0
g58DqgOzCcM,NIKON CORPORATION,NIKON 1 V1,800,93.5,13,1/1250,1
nLNimOqmbpg,Canon,Canon EOS REBEL T5,100,75,5.6,1/200,1
2IITGgRhrQU,NIKON CORPORATION,NIKON D750,100,50,1.6,1/1250,1
PuhnmljHXJ8,Canon,Canon EOS 6D,2000,600,10,1/1000,1
lOaTye_A0GU,NIKON CORPORATION,NIKON D3300,100,50,1.8,1/1600,1
5RXGJ9DUI88,,,,,,,1
9HDfRHhCxME,DJI,FC300X,100,3.6,2.8,1/120,1
sQgW0mQ1CY0,Canon,Canon EOS 6D,100,60,13,30,1
xO5EYYkBUHE,,,,,,,1
U8hfWW6uRvk,SONY,ILCE-7M2,100,55,3.5,1/800,0
pesu5W2yXmQ,NIKON CORPORATION,NIKON D3200,100,50,1.8,1/640,0
tMHJUOKFLjU,FUJIFILM,X-T2,200,35,3.2,1/4000,1
sUO1FYKPsHw,SONY,ILCE-7,400,70,8,1/1000,1
QP64OlGcfcQ,SONY,ILCE-7M2,320,28,7.1,1/40,1
H2iEmRRERjU,,,,,,,1
w2d6dMhVHR4,NIKON CORPORATION,NIKON D5100,720,300,9,1/1000,1
tu5JVdcsUus,DJI,FC300X,100,3.6,2.8,1/395,1
YH-jqAyDUaA,XIAOMI,HM1S,100,3.9,2.2,1/8800,1
IZdwSeYBoRk,NIKON CORPORATION,NIKON D3400,200,55,7.1,1/250,1
bx6FW6H4PGU,"FUJI PHOTO FILM CO., LTD.",SP-3000,,,,,1
Hzeqkmuh8ZY,Canon,Canon PowerShot SX100 IS,80,14.4,3.5,1/250,1
5kP9M84AGUE,FUJIFILM,X-T1,250,56,2.5,1/2000,1
bEwKUiMvsLM,Canon,Canon EOS 5D Mark III,100,28,4.5,1/1000,0
TwIXMn7iNnw,Canon,Canon EOS REBEL T3,1250,85,5.6,15,1
xMMh-VFGL9M,Canon,Canon EOS 6D,100,50,4,1/1000,0
W03UoQoFsoM,,,,,,,1
yDxzI-3IEMc,,,,,,,1
MTuudC6RZ10,SONY,ILCE-6000,100,50,1.8,1/1000,1
pDGNBK9A0sk,FUJIFILM,X-T1,200,23,2,1/80,0
_C-ZxPF-BtQ,Canon,Canon EOS 6D,100,50,1.6,1/320,1
KWvhJuC3TSI,NIKON CORPORATION,NIKON D4S,100,50,2.2,1/1600,1
9mXl4DEA2QA,Canon,Canon EOS REBEL T3,100,50,5.6,1/100,1
2FqpN2CWCLo,NIKON CORPORATION,NIKON D5300,400,,,1/60,1
ugcMN98SYIk,Canon,Canon EOS 5D Mark II,100,200,2.8,1/8000,1
zMWfRUiFqq0,NIKON CORPORATION,NIKON D3200,200,34,7.1,1/200,1
KLR9T4OEgwA,NIKON CORPORATION,NIKON D810,125,105,5,1/640,1
ZnVqsY0Baj4,LEICA CAMERA AG,LEICA TL,100,28.1,9,1/320,1
U_BPsXzsHQQ,SONY,ILCE-7,400,33,9,30,1
HE5PT9HElGE,SONY,ILCE-7M2,200,,,1/60,1
y9zUTieUc-U,Canon,Canon EOS 5D Mark II,100,35,2.8,1/100,1
zNwFleFYTB0,FUJIFILM,X10,100,28.4,5.6,1/800,1
ajKHcwvii0I,Apple,iPhone 7 Plus,20,6.6,2.8,1/179,1
8m2VbT6QBF0,Canon,Canon EOS Rebel T6,100,55,5.6,1/60,1
TMikIBgzns4,Canon,Canon EOS REBEL T5,200,50,2.8,1/125,0
eJ2SnU81KnI,Canon,Canon EOS 7D,100,85,1.8,1/1250,0
TEriGq5ywYA,NIKON CORPORATION,NIKON D4,1250,16,2.8,8,1
V2wJBB2p7eU,,,,,,,1
M1G9mFJaVkw,GoPro,HERO5 Black,1600,3,2.8,1/49,1
9ToO6t9la9g,FUJIFILM,FinePix JX300,100,22,5.8,1/320,1
7MMP0CHyl9o,DJI,FC6310,100,8.8,2.8,1/13,1
9BK7Yae7tTY,Lenovo,Lenovo A7010a48,100,3.7,2.2,1/120,1
ZhsYjreGsSE,Canon,Canon EOS 60D,400,31,4.5,1/2500,1
LKOAOAJZEbc,,,,,,,1
pO16AqrOa80,Canon,Canon PowerShot SX400 IS,400,96.9,5.6,1/25,1
YGrIw0NL_gs,Canon,Canon EOS 5D Mark II,100,17,22,1,1
77PT57uSbkQ,NIKON CORPORATION,NIKON D750,200,35,2,1/4000,1
2UJNFZViRIk,DJI,FC220,100,4.7,2.2,1/1600,1
HHduE-PP8go,Canon,Canon EOS 5D Mark III,500,140,4,1/250,0
Mbm0WnJ5emc,FUJIFILM,FinePix JX300,100,5,8,1/550,1
fBkkiSWvnmM,Canon,Canon EOS 80D,3200,,,25,1
eKCeVOfw4J8,,,,,,,1
bhwtb3AIWXQ,NIKON CORPORATION,NIKON D3200,400,18,4.5,1/100,1
GtcsP-egN1c,FUJIFILM,X-A2,400,50,5.6,1/34,1
HhmCIJTLuGY,Canon,Canon EOS 6D,200,28,4,2,0
F8NIC0FAEgc,,,,,,,1
8XFwrqj0Wtg,DJI,FC6310,100,8.8,2.8,1/800,0
KRVmB7wraZ4,Canon,Canon EOS 6D,3200,,,30,1
Fztf-d-JoaI,SONY,ILCE-7RM2,1000,,,30,1
zIrrF7Bx3pQ,SONY,ILCE-6300,800,,,20,0
QyfSWUp7ReM,,,,,,,1
pbxwxwfI0B4,SONY,SLT-A58,800,55,5.6,1/500,1
6J_qm8DJWnY,,,,,,,0
UF0WlFvPvrk,,,,,,,1
F6S2PWVSiUE,FUJIFILM,X-T2,800,16,1.4,1/1000,1
U_gVev6vaok,SONY,ILCE-7M2,640,55,3.5,1/125,0
hfxvkEzd_I0,Canon,Canon EOS 5D Mark III,500,35,5,1/80,1
zIKUDu2npEw,Canon,Canon EOS 5D Mark IV,500,70,2.8,1/8000,1
lCWVtSagxOs,Apple,iPhone 6,40,4.2,2.2,1/50,0
H_a57GKWIMI,Canon,Canon EOS 6D,2500,50,4,1/50,1
tYQoo65Rw2o,SONY,ILCE-6300,1600,,,15,1
nuMmwfyPOUw,NIKON CORPORATION,NIKON D750,1000,0,,1/100,1
kkJuQhp9Kw0,,,,,,,0
F2hf-bZq8Lo,NIKON CORPORATION,NIKON D810,200,15,2.8,1/400,1
j7MM0yRLglw,Canon,Canon EOS 6D,800,20,1.4,30,0
