photo_id,exif_camera_make,exif_camera_model,exif_iso,exif_focal_length,exif_aperture_value,exif_exposure_time,orientation
6-jMNbtR6UM,Canon,Canon EOS 6D,100,85,1.8,1/750,0
F5CW4uZ8tBw,Canon,Canon PowerShot G7 X,125,17.7,5.6,1/2000,1
FvQvqKhYnUM,Canon,Canon EOS 80D,100,27,4,1/100,1
fGfUJnZD3Mw,Apple,iPhone X,16,6,2.4,1/1350,0
DeeB1MMolss,FUJIFILM,X100F,640,23,5.6,1/500,1
UQMJ_qZ6Nog,Hasselblad,L1D-20c,100,10.3,2.8,1/320,1
zQzkH0aTMac,SONY,ILCE-7S,3200,25,11,1/1250,1
vMJ0qWJkuko,Canon,Canon EOS 5D Mark III,100,35,1.4,1/250,0
Fpa9vFc7kXM,Canon,Canon EOS 5D Mark III,3200,17,4,10,1
tBoQgI_9xjs,SONY,ILCE-6000,100,30,4,1/100,0
2V_uQ1G3Aik,Hasselblad,L1D-20c,200,10.3,8,1/500,0
NYgRKk1lKJs,,,,,,,0
RujHm96SGHU,,,,,,,1
7A_yfNw528g,Canon,Canon EOS 550D,100,175,4.5,1/2500,1
olDFoSy38iw,FUJIFILM,X-T20,400,23,2.5,1/140,0
4D8s0xQUShA,NIKON CORPORATION,NIKON D7100,250,50,2.8,1/250,1
hnqJlzt6R9c,Panasonic,DMC-FZ1000,1600,21.8,3.7,1/640,1
SrwU6iI7P60,NIKON CORPORATION,NIKON D7500,100,11.5,6.3,30,0
G2HEOB4NAHI,NIKON CORPORATION,NIKON D7000,100,48,8,1/250,0
vdQfgQohWOY,FUJIFILM,X-T20,400,55,10,1/18,0
i-xtI6jD7bQ,GoPro,HERO4 Silver,100,3,2.8,1/356,1
jEFveKgbQQY,Canon,Canon EOS 6D,800,97,4,1/50,0
SH9qxARmUiE,NIKON CORPORATION,NIKON D700,200,50,16,1,1
v4iO2FwIMEc,NIKON CORPORATION,NIKON D5600,200,32,8,1/250,1
UHeHurRVB8o,Canon,Canon EOS 5D Mark IV,1250,50,1.4,1/80,0
SPOkmXi0sHE,NIKON,NIKON D750,640,145,11,1.3,1
jlzX7VmbHCY,NIKON CORPORATION,NIKON D7100,100,18,1.8,1/160,1
Ai2BDteKScI,Canon,Canon EOS 5D Mark IV,200,150,2.8,1/320,0
8OfP1sfX5wc,Canon,Canon EOS REBEL T3i,500,50,2,1/400,1
JXZYAWCFBbI,Canon,Canon EOS 5D Mark III,50,20,3.5,1/640,1
s2LwfRvjSac,FUJIFILM,X-T2,250,23,8,1/800,0
DuObvMLmc8M,Nikon,D7100,,,,,1
klzBR5evrPo,Canon,Canon EOS Rebel T7i,800,50,1.8,1/500,0
vxDWgFTgVRI,FUJIFILM,X-T20,200,16,8,25,1
tE7HjfSVn9c,,,,,,,1
Og_MdHmMUjM,Canon,Canon EOS REBEL T3,100,55,8,1/125,1
GKMng7uwpMY,Nikon,D5200,500,105,9,1/125,0
KQXeabDx7dI,NIKON,NIKON D750,200,300,13,1/640,1
7gJNE8eIrGY,Canon,Canon EOS-1D Mark IV,160,70,3.2,1/500,0
HssZQM_TjAo,FUJIFILM,X-T20,200,50,11,1/1000,1
72gRsNvRXmg,DJI,FC220,100,4.7,2.2,1/800,1
eq9FtP7XwJI,SONY,ILCE-7RM2,400,85,2.8,1/640,0
O-dnv951XTY,Canon,Canon EOS 5D Mark III,100,50,1.4,1/250,1
_AHEpAdR8Xo,NIKON CORPORATION,NIKON D610,100,85,1.4,1/1250,0
X-prib5n490,Canon,Canon EOS 5D Mark IV,200,35,1.4,1/320,1
MMu7JLEiopY,SONY,ILCE-7R,200,70,8,1/400,1
jYhNYGeXEBI,Canon,Canon EOS 60D,160,35,2.8,1/1250,1
951YFKbvS3A,SONY,ILCE-6000,1250,16,1.4,4,0
nE4zBrnLRxE,Canon,Canon PowerShot G5 X,400,31.6,10,1/250,1
EhTm5XCGd-M,NIKON CORPORATION,NIKON D750,100,200,3.2,1/500,0
F5cua3OiVA4,SONY,ILCE-7RM3,320,274,10,1/320,1
bYDbkz8gvh4,Canon,Canon EOS 6D,640,50,1.6,1/40,0
O8Ez4YZ49Mo,NIKON CORPORATION,NIKON D7100,,50,2.8,,1
Rrk9PUUbpnc,NIKON CORPORATION,NIKON D3300,100,270,9,1/30,0
8lGVmnzv15o,NIKON CORPORATION,NIKON D610,250,50,4,1/320,1
5UrQj7ojN0Y,Canon,Canon EOS 6D,1600,30,1.6,1/400,1
l73ziAEWtpE,NIKON CORPORATION,NIKON D3500,800,36,4.8,1/20,0
d8yPxlVERM8,Canon,Canon EOS 7D,160,24,6.3,1/1000,0
K6wPjUh_FIM,NIKON CORPORATION,NIKON D3300,400,45,4.8,1/250,0
brx6vAJ7rSY,FUJIFILM,X-Pro2,640,23,16,1/60,1
jzCmSH6en5c,,A7Sii,,,,,0
a0F4kX9nLBU,NIKON CORPORATION,NIKON D750,640,90,11,1/90,0
St5pW99JsLM,Canon,Canon EOS Rebel T6,100,18,3.5,71,1
vgy7iw7rGg8,Canon,Canon EOS 77D,100,135,8,1/60,1
BL8BGEQtxic,,,,,,,0
HJLlOcoFJcw,SONY,ILCA-77M2,100,18,2.8,1/4000,1
BAm5XO5rA0Q,SONY,ILCE-7RM3,100,24,4.5,1/2000,0
zbai2Y1GBIw,NIKON CORPORATION,NIKON D850,1000,220,5,1/1250,0
5ty0nTfb4HQ,Canon,Canon EOS 80D,400,50,1.4,1/320,0
jcuBUfo8Vts,Canon,Canon EOS 6D,400,50,1.8,1/320,1
VSIeC4f1ohc,Canon,Canon EOS 5D Mark III,100,80,4,1/6400,0
P94QCuGGYEY,DJI,FC2103,320,4.5,2.8,1/15,1
Va3e334xsEU,SONY,ILCE-7M3,400,28,2.8,1/1250,0
AqV14tIKunY,SONY,A7 iii,12800,55,2.5,1/100,0
7qu1R71JyPk,Canon,Canon EOS M50,400,15,3.5,20,0
jCL98LGaeoE,Canon,Canon EOS 70D,200,50,9,1/1250,0
OMpAeSP3ptw,Canon,Canon EOS-1D X Mark II,500,24,2.8,1/400,0
FK4vj_cP7Jw,Canon,Canon EOS 500D,320,40,5,1/40,1
gTyyHANr974,Canon,Canon EOS 80D,400,250,11,1/250,0
8YRrnjZq4aY,,,,,,,1
6oqHAIo1RHw,NIKON CORPORATION,NIKON D500,110,30,1.4,1/8000,1
-N-O19tUMlE,SONY,ILCE-7,200,70,5.6,1/160,1
iSMEz8NPqrU,NIKON CORPORATION,NIKON D5100,200,50,2,1/1000,1
TdAfVvGXelo,NIKON CORPORATION,NIKON D5200,100,35,1.8,1/30,1
SUEHhBOph1c,NIKON CORPORATION,NIKON D5600,100,35,1.8,1/3200,0
jmUAwCkB2X8,FUJIFILM,X100F,250,23,2.8,1/500,1
xV6GvfmP4iU,Hasselblad,L1D-20c,100,10.3,2.8,1/25,1
xeRDNkA04Y4,DJI,FC2103,100,4.5,2.8,1/200,1
ooZfU1oyS7E,NIKON CORPORATION,NIKON D800E,3200,14,2.8,25,1
njpwZMNL9TM,Canon,Canon EOS 5D,400,75,4,1/1250,1
c5EaVO5bR4U,Canon,Canon EOS 6D,100,100,2.8,1/125,0
L9wetGDvPJM,NIKON CORPORATION,NIKON D750,2500,24,4.5,30,0
iQTPNZoaRNU,Canon,Canon EOS 600D,100,43,9,5,0
zQI4HBYKR7I,NIKON CORPORATION,NIKON D800,100,50,2,1/1250,1
C7IPacQtf6Q,,,,,,,1
jLlDee9Qwsg,Canon,Canon EOS 60D,1600,18,3.5,1/30,1
5H69DBo4cGM,Canon,Canon EOS 700D,100,10,4.5,1/100,1
NAP14GEjvh8,NIKON CORPORATION,NIKON D300,800,50,2.8,1/125,0
kfmJI3BkzbA,NIKON CORPORATION,NIKON D750,1000,34,4,1/2000,0
W_QbwqdG2BY,PENTAX,PENTAX K-5 II,100,50,2,1/500,0
LpYtdy59oxM,Canon,Canon EOS 5D Mark III,1250,50,11,1/4000,1
U2DWHraIh3M,NIKON CORPORATION,NIKON D5600,100,20,13,3,1
1VQXoY_gWhk,Canon,Canon EOS 5D Mark III,800,20,1.4,1/160,1
SSgWzII-hc0,NIKON CORPORATION,NIKON D610,400,50,2,1/100,1
Vr-OPKxwXO0,DJI,FC2103,100,4.5,2.8,1/30,1
S3AJ3p5poN0,Canon,Canon EOS 650D,100,96,8,1/250,1
lNf5ab5EaJs,NIKON CORPORATION,NIKON D750,100,52,5.6,1/250,1
7x33lClM_z8,NIKON CORPORATION,NIKON D7100,100,50,2.2,1/125,1
BU-O0ZfnCgk,,,,,,,1
7AHr1pVs9bY,DJI,FC220,100,4.7,2.2,1/320,1
ONYo0CNHNjw,Canon,Canon PowerShot S90,80,6,4,1/500,1
PIjy0W5uwds,DJI,FC220,100,4.7,2.2,1/4115,1
3pnKzEQGOXc,NIKON CORPORATION,NIKON D700,160,35,1.4,1/250,0
QOCTXsaxYR8,SAMSUNG,NX3300,3200,45,5,1/30,0
CmZY38GVNsQ,NIKON CORPORATION,NIKON D750,50,85,1.4,1/4000,1
XjkJtDb2tHY,Canon,Canon EOS 400D DIGITAL,100,31,6.3,1/60,1
TnXMvJsCTpA,NIKON CORPORATION,NIKON D3400,800,35,4,1/100,1
o9nE1a7jhBQ,Canon,Canon EOS 1300D,800,250,5.6,1/1600,1
5GibcyAX20Q,SONY,ILCE-7M2,6400,28,3.5,1/400,0
n6RPQ_6KleA,NIKON CORPORATION,NIKON D750,800,24,2.8,700,0
yGMw4KpX4CE,SONY,ILCE-7RM2,100,11,5.6,1/8000,1
ziaC0m4Pk5w,,,,,,,1
pSXcenzME54,NIKON CORPORATION,NIKON D7000,1000,50,4.5,1/500,1
6fS5dNHYun8,NIKON CORPORATION,NIKON D5100,500,200,5.6,2.5,1
ZUctozdvVtw,NIKON CORPORATION,NIKON D750,400,19,11,18,1
KBN8D4dt45A,Canon,Canon EOS 60D,100,50,2.8,1/400,1
LqexrWc6an8,Canon,Canon EOS 5D Mark III,500,70,3.2,1/2500,1
hFlXI1ZjfX8,Canon,Canon EOS 6D,320,50,3.5,1/500,1
8f0ItAkeMo4,Canon,EOS 5D Mark III,100,85,1.4,1/8000,0
QAb8xqMZtYM,FUJIFILM,X-T3,1600,200,4.8,1/52,0
vYyHLDPKWd4,SONY,ILCE-6000,640,16,4,1/60,1
WTrrGUCe4hM,,,,,,,1
rXtXA42Lgzs,SONY,ILCE-7M2,160,50,1.4,1/800,1
UY7R1QhCJ3c,DJI,FC220,100,4.7,2.2,1/2500,0
GJHSCMY3zvA,Canon,Canon EOS 77D,250,50,1.8,1/100,1
yif0noR3CBc,Canon,Canon EOS 70D,500,105,4,1/125,0
IFP0Yu25w7w,Nikon,D5200,,,,,1
EIH4dHgb6Tg,SONY,ILCE-7RM3,100,70,11,0.3,1
Bzy973uq-BE,NIKON CORPORATION,NIKON D810,2000,400,4,1/2000,1
jhTAobA3X7g,Canon,Canon EOS 5D Mark IV,400,40,7.1,1/60,0
pk6w2b3WVhM,OLYMPUS IMAGING CORP.,E-M10,100,25,1.7,1/4000,1
M7bTHFJnnWg,FUJIFILM,X100F,250,23,2.8,1/1000,0
JrMkTw3lYBk,,,,,,,1
5TH1IR2NfS8,FUJIFILM,X-T2,200,55,10,1/200,0
b3S7gyrfOMQ,Canon,Canon EOS 600D,100,29,4.5,1/320,0
SzD33Xh8SIA,asus,ASUS_Z01KD,45,3.9,1.8,1/60,0
Nj09rsh9mvI,SONY,ILCE-6000,100,24,1.8,1/400,0
J9GXIayf7hU,,Canon EOS R,,,,,0
hmzKoapQuYY,DJI,FC2103,100,4.5,2.8,1/380,1
mtsTiDC8lps,SONY,ILCE-7R,3200,18,2.8,30,0
w0eeWGAhLiI,Canon,EOS 6D Mark II,125,24,2.8,1/500,0
sB1Npr3L-gU,Canon,Canon EOS 7D,200,35,1.6,13,1
lKNx7Ipbs5M,Panasonic,DC-GH5,200,22,6.3,1/400,1
kmu4AjOBuHo,SONY,ILCE-7M2,1600,28,4,1/160,0
0JecC3P4tl8,Canon,Canon EOS 5D Mark II,125,35,3.5,1/4000,1
xssEs_oCv-A,NIKON CORPORATION,NIKON D610,100,28,3.5,1/200,0
0Mmp6ojpwWU,DJI,FC220,100,4.7,2.2,1/470,0
8zskmq_yL6Q,Canon,Canon EOS REBEL T5i,100,16,8,1/200,1
sce76VFkUKo,Apple,iPhone X,20,6,2.4,1/120,0
WqEA-2B64qI,,,,,,,1
gEzsziJrEGY,NIKON CORPORATION,NIKON D5300,250,50,3.2,1/2500,0
Zl6FatXMxIM,,,,,,,1
F_CwnIG8o-U,Google,Pixel 2 XL,301,4.5,1.8,1/50,0
LONPDGRFTew,Canon,Canon EOS 6D,100,35,2,1/1250,0
IRW6T87IfVA,Canon,Canon EOS 6D,100,70,9,1/400,1
DvHWP8iVYHQ,Canon,Canon EOS 6D,100,29,9.5,1,0
sp2lfKOUzAM,,,,,,,0
GF8FJKnDrzA,,,,,,,0
WB-tCcWcLYs,NIKON CORPORATION,NIKON D850,100,32,3.2,1/1000,1
Iqa-NPxzraE,DJI,FC220,,4.7,2.2,1/13,1
I1qykSwOQaE,Canon,Canon EOS 7D Mark II,160,18,7.1,1/80,1
kYT8gMyh_4Y,NIKON CORPORATION,NIKON D850,31,36,4.5,1/80,1
9XBxrbq0nyA,Canon,Canon EOS 80D,1000,50,1.4,1/50,1
7_6iCm1dMDc,FUJIFILM,X-Pro2,200,35,5.6,1/1250,0
uAvzsX9T6c0,SONY,ILCE-7RM2,200,,,1/200,1
ZFB9S3LNcVg,Canon,Canon EOS 80D,125,135,6.3,1/200,1
_kP5ik4ydPU,Canon,Canon EOS 700D,200,,,1/500,1
lhYtQ29qmi0,Canon,Canon EOS 650D,100,50,1.8,1/4000,0
IZLIeUo0xkY,Canon,Canon EOS 6D,100,50,1.4,1/30,0
arOA3Q38OEY,FUJIFILM,X-T10,200,27,9,1/350,1
Le1JlDtVi2Q,SONY,SLT-A77V,50,,,1/1000,1
8bIsSb0zTSE,NIKON CORPORATION,NIKON D5200,100,35,1.8,1/250,0
qCoXJhVtVTE,NIKON CORPORATION,NIKON D300S,500,160,8,1/40,1
Dj_OzafImwc,SONY,ILCE-7M3,100,70,6.3,1/160,0
_Bi4xq6q0SQ,Canon,Canon EOS M3,160,15,9,1/320,0
DV6W9GaAgZw,GoPro,HERO6 Black,1200,3,2.8,1/220,1
-12cgSu9HW0,FUJIFILM,X100F,1000,23,4,1/250,1
3KRYZnTyYmQ,SONY,ILCE-7RM2,4000,25,2.8,1/2000,0
4l5BlL6OX7A,DJI,FC330,100,28,2,,1
wGS0qxjyVgk,Canon,Canon EOS REBEL T4i,100,50,2.2,1/320,0
f5_rRxchjoU,NIKON CORPORATION,NIKON D750,250,120,4,1/640,0
uZBmcIR5_94,DJI,FC220,100,4.7,2.2,1/120,1
tGui77fvvpE,OLYMPUS IMAGING CORP.,E-M5MarkII,200,25,4,1/1000,0
lHmuz2kVwoY,NIKON CORPORATION,NIKON D800,100,50,1.8,1/500,1
mo8cVXGxTqI,NIKON CORPORATION,NIKON D750,4000,50,1.4,1/160,1
c5_llPei-Co,Canon,Canon EOS 6D Mark II,100,35,2,1/250,0
I9329F5p1vE,NIKON CORPORATION,NIKON D700,100,300,5.6,1/250,1
y1GcM8xAi5A,NIKON CORPORATION,NIKON D5200,125,80,5,1/400,0
M1elT45_Lk0,Canon,Canon EOS 7D Mark II,100,18,3.5,1/640,1
XhpE3fvd9ME,NIKON CORPORATION,NIKON D7100,100,40,2.8,1/1250,1
UpZ9_Mxayl4,NIKON CORPORATION,NIKON D810,320,80,4.5,1/500,1
JnHBi5TEP1c,NIKON CORPORATION,NIKON D5100,1600,18,3.5,30,1
Avk-yWKj7TM,NIKON CORPORATION,NIKON D300S,800,28,5,1/160,1
CzcK8pMZ1Kw,SONY,ILCE-6000,500,,,1/160,1
kzyFbrac-GA,Apple,iPhone XS Max,25,4.2,1.8,1/3937,0
sy803eXiVRk,Canon,Canon EOS M5,200,10,5,1/100,1
Udn0cId7aak,Hasselblad,L1D-20c,100,10.3,4,1/100,0
YZIdz19jhqs,Canon,Canon EOS DIGITAL REBEL XS,400,50,2,1/1000,1
J-QwNaJZf_8,FUJIFILM,X-H1,320,23,1.4,1/8000,1
iZmWDEjmRWM,Canon,Canon EOS 600D,400,50,2,1/160,0
UKYwI2LAyAM,NIKON CORPORATION,NIKON D750,800,105,5,1/400,1
W-jVyeVGQjE,Canon,Canon EOS 6D Mark II,5000,85,3.5,1/80,0
dUeD4im5YSQ,SONY,ILCE-7RM2,100,23,9,1/250,1
dcEWYwJmnV4,,,,,,,1
pVOOebNvs_M,NIKON CORPORATION,NIKON Z 6,1600,105,3.2,1/125,1
O3farXTL2J8,Canon,Canon EOS 600D,100,270,6.3,1/200,0
sI6MbZDxUas,NIKON CORPORATION,NIKON D750,100,90,6.7,1/30,1
yxSZBdCYISU,Canon,Canon EOS REBEL T5i,200,70,10,1/320,1
UMpdxLFOZIU,FUJIFILM,X100S,1600,23,2,1/60,1
AUYr7ptqSRQ,SONY,ILCE-7M3,400,75,7.1,1/320,1
Rvs6IR8cX6I,Canon,Canon EOS 6D,200,35,1.4,1/640,1
HdCjBjxYyWk,NIKON CORPORATION,NIKON D7000,100,50,1.8,1/80,1
eSNjFDbw_i4,Canon,Canon EOS 5DS R,1000,75,6.3,1/320,1
hztya2tQqB8,Canon,Canon EOS 7D Mark II,1000,278,5,1/640,1
nYWth5MXBB4,Canon,Canon EOS 5D Mark IV,640,300,3.2,1/500,1
SeMaiTe-klk,Canon,Canon EOS Rebel T6,200,50,1.8,1/400,0
UFmKhM4cBJY,NIKON CORPORATION,NIKON D750,100,24,4,1/400,1
rzBvZs6mQWk,NIKON CORPORATION,NIKON D610,320,58,2.8,1/320,1
xsHz59x66Ds,Canon,Canon EOS 80D,100,24,2.8,1/500,0
lxBXK41lecQ,DJI,FC1102,100,4.5,2.6,1/100,0
lzxuLl0fHTU,Canon,Canon EOS 700D,100,20,1.4,1/320,0
XPhgXC1h7lc,NIKON CORPORATION,NIKON D750,400,600,6.7,1/1000,1
QNDzCNj-zmg,SONY,ILCE-7M3,100,200,11,1/10,1
qKzIwU8Pa5A,NIKON CORPORATION,NIKON D750,100,85,8,1/1000,0
apYtgYHjWwg,FUJIFILM,X-T1,800,25,,1/100,0
TJho51nvPJU,,,,,,,1
Re6iq3xZJ_8,Canon,Canon EOS Rebel T6,100,100,2.8,1/320,1
hnzhgtO7PyQ,Canon,Canon EOS 6D Mark II,50,,,1146,1
FwTKMK5IwRo,NIKON CORPORATION,NIKON D800,140,42,6.3,1/400,1
rqQYXih2nPI,Canon,Canon EOS 450D,200,340,20,10,1
v0BRVtTIG2Y,SONY,NEX-6,100,50,5.6,1/250,0
xwgHgViciZI,NIKON CORPORATION,NIKON D4S,280,200,2.8,1/125,0
PFimzg8OsX4,Canon,Canon EOS 7D,3200,29,5,1/60,1
WY9C_omjL8w,SONY,ILCE-7M2,250,0,,1/125,1
iKSEj1JuJVo,,,50,20,2.8,1/4000,0
qGFwvOUfLLE,Hasselblad,L1D-20c,100,10.3,2.8,1/4,0
tz-nFaE_iYs,OLYMPUS CORPORATION,E-M10MarkII,400,60,22,1/20,1
MW7izbVOjMM,NIKON CORPORATION,NIKON D3400,400,28,4.2,1/160,1
XuFCQqL7Rag,Canon,Canon EOS 6D,100,32,11,1/250,1
1ElilpU-1Nw,SONY,ILCE-7RM3,160,16,2.8,1/160,1
kTdzYdith14,Canon,Canon EOS 5D Mark IV,1600,300,2.8,1/500,1
e2uR7ZUEUFg,,,,,,,0
